название вакансии,компания,зарплата,ссылка
PHP-программист,Evaxsoft,80 000 – 140 000 ₽ на руки,https://adsrv.hh.ru/click?b=1084681&place=35&meta=bSvJB8V1JlTY2U2S0rqMOnLonaoMQe75TfbN5u16Koj269jMznQUIoT0qbMMxlYg3rceyX5Jrmpj3MEkj7sYevaT6qsepqAsIuf3oyboOz3Ubf-dtrVQND4YlFNlGFiJw7EngLTOERdL04ncuatMxxdBIsf07cuJtHZPWXlXdAWE2xIKaH0huIEQKo9h8_cBFy_WWkEku6cXLmOH-QO-QQknVp9XYEaX1_GUQbs4ox1RlFYq5onhxiytu6gp6n55xI2glOEvYize4J8a94AydWYgCGsYxXcwWC9SiqIXB1CsUVxpHxDp60yiWBkakyI9EswneiAvkHzJYKG8MQPADCJQcxzFFlCWFPXY7uthE9unpsKmT10R9hmdmF84Q7lmTw6HcmJbbWCdT997U2fEP4Qt06LZbyQzeXLZhPJbptwMIIVSUtfbRQ1gX_2ussWv-MNDVpGcdKj3TBghJgByjUBYlFWWe9Jj1tOPwXT4-EnvUi12YUhlwKVxxpqa6hgmaDzozZZ80u2uyTlRbh8bww%3D%3D&clickType=link_to_vacancy
C++ программист (junior),Unigine,,https://tomsk.hh.ru/vacancy/103045788?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,АО СКАД тех,90 000 – 200 000 ₽ на руки,https://tomsk.hh.ru/vacancy/102409000?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Аптечная сеть ЛЕКА,от 200 000 ₽ на руки,https://tomsk.hh.ru/vacancy/102405942?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1C (Стажер),Центр финансовых технологий,,https://tomsk.hh.ru/vacancy/102847054?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО ИЦ КонсультантЪ,,https://tomsk.hh.ru/vacancy/93180931?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,Головное подразделение Сибагро,80 000 – 120 000 ₽ на руки,https://tomsk.hh.ru/vacancy/101797050?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,Головное подразделение Сибагро,80 000 – 120 000 ₽ до вычета налогов,https://tomsk.hh.ru/vacancy/101797066?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,АО ТомскНИПИнефть,,https://tomsk.hh.ru/vacancy/101909250?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,ООО СИНЕКТА,,https://tomsk.hh.ru/vacancy/101596694?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист в отдел разработки,"ЛАМА, Группа компаний",,https://tomsk.hh.ru/vacancy/94725832?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (Инженер-программист),СибГМУ,120 000 – 120 000 ₽ на руки,https://tomsk.hh.ru/vacancy/83379924?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик C++/Qt,ООО Инфоматикс,от 100 000 ₽ на руки,https://tomsk.hh.ru/vacancy/102743227?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,"Томская электронная компания , ООО НПП",50 000 – 110 000 ₽ на руки,https://tomsk.hh.ru/vacancy/83312825?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО МАГ Девелопмент,от 200 000 ₽ на руки,https://tomsk.hh.ru/vacancy/102067558?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Лидерпак,от 100 000 ₽ на руки,https://tomsk.hh.ru/vacancy/102156240?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Национальный исследовательский Томский политехнический университет,150 000 – 150 000 ₽ на руки,https://tomsk.hh.ru/vacancy/97100558?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
ПРОГРАММИСТ 1С,Есть повод (ИП Соколова Анастасия Александровна),,https://tomsk.hh.ru/vacancy/97087280?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
.NET разработчик,НТР,,https://tomsk.hh.ru/vacancy/101930956?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист (Fullstack),Кемеровское Акционерное Общество Азот,,https://tomsk.hh.ru/vacancy/103007733?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Веб-Киборг,100 000 – 150 000 ₽ на руки,https://tomsk.hh.ru/vacancy/103184506?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend Developer (.NET),TravelLine,до 300 000 ₽ на руки,https://tomsk.hh.ru/vacancy/101457201?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик С++ Junior,ООО Интрайс,от 50 000 ₽ на руки,https://tomsk.hh.ru/vacancy/101820634?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle NestJS - разработчик (backend),ilink,,https://tomsk.hh.ru/vacancy/102783665?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Flutter-разработчик,ООО СибТехПроект,,https://tomsk.hh.ru/vacancy/103255035?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист Python (Middle),ООО Инфоматикс,от 90 000 ₽ на руки,https://tomsk.hh.ru/vacancy/102238028?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior PHP-разработчик,Loymax,от 60 000 ₽ на руки,https://tomsk.hh.ru/vacancy/103146805?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер-программист,ООО Encore,,https://tomsk.hh.ru/vacancy/96528134?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
